file,line,pattern,suggested_fix
lib/core/responsive/responsive_guide.md,90,MediaQuery.size.$3,Use context.vw/context.vh (Responsive)
lib/core/responsive/responsive_guide.md,91,MediaQuery.size.$3,Use context.vw/context.vh (Responsive)
lib/core/responsive/responsive_guide.md,161,Deprecated responsive util,Replace with core/responsive/responsive.dart
lib/shared/widgets/section_card.dart,20,Magic EdgeInsets,Use context.layout.insets*/space*
lib/features/transaction/presentation/widgets/transaction_tile.dart,74,Magic EdgeInsets,Use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,231,Magic EdgeInsets,Use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,280,Magic EdgeInsets,Use context.layout.insets*/space*
lib/features/transaction/presentation/pages/add_edit_transaction_screen.dart,333,Magic EdgeInsets,Use context.layout.insets*/space*
lib/core/responsive/responsive_guide.md,92,Magic EdgeInsets,Use context.layout.insets*/space*
lib/core/theme/app_theme.dart,65,Magic EdgeInsets,Use context.layout.insets*/space*
lib/core/theme/app_theme.dart,172,Magic EdgeInsets,Use context.layout.insets*/space*
lib/shared/widgets/custom_app_bar.dart,123,Legacy size API,Prefer context.layout or numeric sugar (still supported)
lib/features/transaction/presentation/pages/transaction_list_screen.dart,100,Legacy size API,Prefer context.layout or numeric sugar (still supported)
lib/core/responsive/responsive_guide.md,116,Legacy size API,Prefer context.layout or numeric sugar (still supported)
lib/core/responsive/responsive_guide.md,117,Legacy size API,Prefer context.layout or numeric sugar (still supported)
lib/core/responsive/responsive.dart,19,Legacy size API,Prefer context.layout or numeric sugar (still supported)
lib/core/responsive/responsive.dart,23,Legacy size API,Prefer context.layout or numeric sugar (still supported)
lib/core/responsive/responsive.dart,24,Legacy size API,Prefer context.layout or numeric sugar (still supported)
